,committee,title,name,role,party,town,first,last
0,"Agriculture, Conservation and Forestry",Rep,William D. Pluecker,Chair,I,Warren,William,Pluecker
1,"Agriculture, Conservation and Forestry",Rep,Allison Hepler,,D,Woolwich,Allison,Hepler
2,"Agriculture, Conservation and Forestry",Rep,Laurie Osher,,D,Orono,Laurie,Osher
3,"Agriculture, Conservation and Forestry",Rep,Rebecca L. Jauch,,D,Topsham,Rebecca,Jauch
4,"Agriculture, Conservation and Forestry",Rep,Kathleen A. Shaw,,D,Auburn,Kathleen,Shaw
5,"Agriculture, Conservation and Forestry",Rep,Randall C. Hall,Ranking Minority Party Member,R,Wilton,Randall,Hall
6,"Agriculture, Conservation and Forestry",Rep,Danny Edward Costain,,R,Plymouth,Danny,Costain
7,"Agriculture, Conservation and Forestry",Rep,Dean A. Cray,,R,Palmyra,Dean,Cray
8,"Agriculture, Conservation and Forestry",Rep,Timothy C. Guerrette,,R,Caribou,Timothy,Guerrette
9,"Agriculture, Conservation and Forestry",Rep,Caldwell Jackson,,R,Oxford,Caldwell,Jackson
10,"Agriculture, Conservation and Forestry",Sen,Henry Ingwersen,Chair,D,York,Henry,Ingwersen
11,"Agriculture, Conservation and Forestry",Sen,Craig Hickman,,D,Kennebec,Craig,Hickman
12,"Agriculture, Conservation and Forestry",Sen,Russell Black,,R,Franklin,Russell,Black
13,Appropriations and Financial Affairs,Rep,Melanie Sachs,Chair,D,Freeport,Melanie,Sachs
14,Appropriations and Financial Affairs,Rep,Jessica L. Fay,,D,Raymond,Jessica,Fay
15,Appropriations and Financial Affairs,Rep,Benjamin T. Collings,,D,Portland,Benjamin,Collings
16,Appropriations and Financial Affairs,Rep,Ann Higgins Matlack,,D,St. George,Ann,Matlack
17,Appropriations and Financial Affairs,Rep,Rebecca J. Millett,,D,Cape Elizabeth,Rebecca,Millett
18,Appropriations and Financial Affairs,Rep,Drew Gattine,,D,Westbrook,Drew,Gattine
19,Appropriations and Financial Affairs,Rep,H. Sawin Millett,Ranking Minority Party Member,R,Waterford,H.,Millett
20,Appropriations and Financial Affairs,Rep,John E. Ducharme,,R,Madison,John,Ducharme
21,Appropriations and Financial Affairs,Rep,Mark John Blier,,R,Buxton,Mark,Blier
22,Appropriations and Financial Affairs,Rep,Nathan M. Carlow,,R,Buxton,Nathan,Carlow
23,Appropriations and Financial Affairs,Sen,Peggy Rotundo,Chair,D,Androscoggin,Peggy,Rotundo
24,Appropriations and Financial Affairs,Sen,Jill Duson,,D,Cumberland,Jill,Duson
25,Appropriations and Financial Affairs,Sen,Richard Bennett,,R,Oxford,Richard,Bennett
26,Criminal Justice and Public Safety,Rep,Travis Rock Hasenfus,Chair,D,Readfield,Travis,Hasenfus
27,Criminal Justice and Public Safety,Rep,Grayson B. Lookner,,D,Portland,Grayson,Lookner
28,Criminal Justice and Public Safety,Rep,Suzanne M. Salisbury,,D,Westbrook,Suzanne,Salisbury
29,Criminal Justice and Public Safety,Rep,Kristi Michele Mathieson,,D,Kittery,Kristi,Mathieson
30,Criminal Justice and Public Safety,Rep,Michel A. Lajoie,,D,Lewiston,Michel,Lajoie
31,Criminal Justice and Public Safety,Rep,Nina Azella Milliken,,D,Blue Hill,Nina,Milliken
32,Criminal Justice and Public Safety,Rep,Robert W. Nutting,Ranking Minority Party Member,R,Oakland,Robert,Nutting
33,Criminal Justice and Public Safety,Rep,Daniel J. Newman,,R,Belgrade,Daniel,Newman
34,Criminal Justice and Public Safety,Rep,Donald J. Ardell,,R,Monticello,Donald,Ardell
35,Criminal Justice and Public Safety,Rep,Chad Richard Perkins,,R,Dover-Foxcroft,Chad,Perkins
36,Criminal Justice and Public Safety,Sen,Pinny Beebe-Center,Chair,D,Knox,Pinny,Beebe-Center
37,Criminal Justice and Public Safety,Sen,David LaFountain,,D,Kennebec,David,LaFountain
38,Criminal Justice and Public Safety,Sen,Matthew Harrington,,R,York,Matthew,Harrington
39,Education and Cultural Affairs,Rep,Michael F. Brennan,Chair,D,Portland,Michael,Brennan
40,Education and Cultural Affairs,Rep,Janice S. Dodge,,D,Belfast,Janice,Dodge
41,Education and Cultural Affairs,Rep,Rebecca J. Millett,,D,Cape Elizabeth,Rebecca,Millett
42,Education and Cultural Affairs,Rep,Holly T. Sargent,,D,York,Holly,Sargent
43,Education and Cultural Affairs,Rep,Kelly Noonan Murphy,,D,Scarborough,Kelly,Murphy
44,Education and Cultural Affairs,Rep,James Mark Worth,,D,Ellsworth,James,Worth
45,Education and Cultural Affairs,Rep,Heidi H. Sampson,Ranking Minority Party Member,R,Alfred,Heidi,Sampson
46,Education and Cultural Affairs,Rep,Sheila A. Lyman,,R,Livermore Falls,Sheila,Lyman
47,Education and Cultural Affairs,Rep,Edward J. Polewarczyk,,R,Wiscasset,Edward,Polewarczyk
48,Education and Cultural Affairs,Rep,Barbara A. Bagshaw,,R,Windham,Barbara,Bagshaw
49,Education and Cultural Affairs,Sen,Joe Rafferty,Chair,D,York,Joe,Rafferty
50,Education and Cultural Affairs,Sen,Teresa Pierce,,D,Cumberland,Teresa,Pierce
51,Education and Cultural Affairs,Sen,James Libby,,R,Cumberland,James,Libby
52,"Energy, Utilities and Technology",Rep,Stanley Paige Zeigler Jr.,Chair,D,Montville,Stanley,Jr.
53,"Energy, Utilities and Technology",Rep,Christopher J. Kessler,,D,South Portland,Christopher,Kessler
54,"Energy, Utilities and Technology",Rep,Valli Geiger,,D,Rockland,Valli,Geiger
55,"Energy, Utilities and Technology",Rep,James A. Boyle,,D,Gorham,James,Boyle
56,"Energy, Utilities and Technology",Rep,Sophia B. Warren,,D,Scarborough,Sophia,Warren
57,"Energy, Utilities and Technology",Rep,Walter Gerard Runte,,D,York,Walter,Runte
58,"Energy, Utilities and Technology",Rep,Steven D. Foster,Ranking Minority Party Member,R,Dexter,Steven,Foster
59,"Energy, Utilities and Technology",Rep,Mark Michael Babin,,R,Fort Fairfield,Mark,Babin
60,"Energy, Utilities and Technology",Rep,Larry C. Dunphy,,R,Embden,Larry,Dunphy
61,"Energy, Utilities and Technology",Rep,Reagan Paul,,R,Winterport,Reagan,Paul
62,"Energy, Utilities and Technology",Sen,Mark W. Lawrence,Chair,D,York,Mark,Lawrence
63,"Energy, Utilities and Technology",Sen,Nicole Grohoski,,D,Hancock,Nicole,Grohoski
64,"Energy, Utilities and Technology",Sen,Matthew Harrington,,R,York,Matthew,Harrington
65,Environment and Natural Resources,Rep,Lori Gramlich,Chair,D,Old Orchard Beach,Lori,Gramlich
66,Environment and Natural Resources,Rep,"Margaret M. O’Neil,",,D,Saco,Margaret,"O’Neil,"
67,Environment and Natural Resources,Rep,Arthur L. Bell,,D,Yarmouth,Arthur,Bell
68,Environment and Natural Resources,Rep,Victoria W. Doudera,,D,Camden,Victoria,Doudera
69,Environment and Natural Resources,Rep,William R. Bridgeo,,D,Augusta,William,Bridgeo
70,Environment and Natural Resources,Rep,Daniel J. Hobbs,,D,Wells,Daniel,Hobbs
71,Environment and Natural Resources,Rep,Daniel J. Ankeles,,D,Brunswick,Daniel,Ankeles
72,Environment and Natural Resources,Rep,Richard H. Campbell,Ranking Minority Party Member,R,Orrington,Richard,Campbell
73,Environment and Natural Resources,Rep,Tammy L. Schmersal-Burgess,,R,Mexico,Tammy,Schmersal-Burgess
74,Environment and Natural Resources,Rep,Gregory Lewis Swallow,,R,Houlton,Gregory,Swallow
75,Environment and Natural Resources,Sen,Stacy Brenner,Chair,D,Cumberland,Stacy,Brenner
76,Environment and Natural Resources,Sen,Anne M. Carney,,D,Cumberland,Anne,Carney
77,Environment and Natural Resources,Sen,Peter Lyford,,R,Penobsco,Peter,Lyford
78,Health and Human Services,Rep,Michele Meyer,Chair,D,Eliot,Michele,Meyer
79,Health and Human Services,Rep,Colleen M. Madigan,,D,Waterville,Colleen,Madigan
80,Health and Human Services,Rep,Margaret Craven,,D,Lewiston,Margaret,Craven
81,Health and Human Services,Rep,Samuel Lewis Zager,,D,Portland,Samuel,Zager
82,Health and Human Services,Rep,Daniel Joseph Shagoury,,D,Hallowell,Daniel,Shagoury
83,Health and Human Services,Rep,Anne P. Graham,,D,North Yarmouth,Anne,Graham
84,Health and Human Services,Rep,Kathy Irene Javner,Ranking Minority Party Member,R,Chester,Kathy,Javner
85,Health and Human Services,Rep,Abigail W. Griffin,,R,Levant,Abigail,Griffin
86,Health and Human Services,Rep,Michael H. Lemelin,,R,Chelsea,Michael,Lemelin
87,Health and Human Services,Rep,Ann Fredericks,,R,Sanford,Ann,Fredericks
88,Health and Human Services,Sen,Joseph Baldacci,Chair,D,Penobscot,Joseph,Baldacci
89,Health and Human Services,Sen,Henry Ingwersen,,D,York,Henry,Ingwersen
90,Health and Human Services,Sen,Marianne Moore,,R,Washington,Marianne,Moore
91,"Health Coverage, Insurance and Financial Services",Rep,Anne C. Perry,Chair,D,Calais,Anne,Perry
92,"Health Coverage, Insurance and Financial Services",Rep,Poppy Arford,,D,Brunswick,Poppy,Arford
93,"Health Coverage, Insurance and Financial Services",Rep,Kristi Michele Mathieson,,D,Kittery,Kristi,Mathieson
94,"Health Coverage, Insurance and Financial Services",Rep,Anne-Marie Mastraccio,,D,Sanford,Anne-Marie,Mastraccio
95,"Health Coverage, Insurance and Financial Services",Rep,Jane P. Pringle,,D,Windham,Jane,Pringle
96,"Health Coverage, Insurance and Financial Services",Rep,Sally Jeane Cluchey,,D,Bowdoinham,Sally,Cluchey
97,"Health Coverage, Insurance and Financial Services",Rep,Joshua Morris,Ranking Minority Party Member,R,Turner,Joshua,Morris
98,"Health Coverage, Insurance and Financial Services",Rep,Robert W. Nutting,,R,Oakland,Robert,Nutting
99,"Health Coverage, Insurance and Financial Services",Rep,Scott Wynn Cyrway,,R,Albion,Scott,Cyrway
100,"Health Coverage, Insurance and Financial Services",Rep,David Woodsome,,R,Waterboro,David,Woodsome
101,"Health Coverage, Insurance and Financial Services",Sen,Donna Bailey,Chair,D,York,Donna,Bailey
102,"Health Coverage, Insurance and Financial Services",Sen,Cameron Reny,,D,Lincoln,Cameron,Reny
103,"Health Coverage, Insurance and Financial Services",Sen,Eric Brakey,,R,Androscoggin,Eric,Brakey
104,Inland Fisheries and Wildlife,Rep,H. Scott Landry,Chair,D,Farmington,H.,Landry
105,Inland Fisheries and Wildlife,Rep,James F. Dill,,D,Old Town,James,Dill
106,Inland Fisheries and Wildlife,Rep,Daniel Joseph Shagoury,,D,Hallowell,Daniel,Shagoury
107,Inland Fisheries and Wildlife,Rep,Sally Jeane Cluchey,,D,Bowdoinham,Sally,Cluchey
108,Inland Fisheries and Wildlife,Rep,Clinton E. Collamore,,D,Waldoboro,Clinton,Collamore
109,Inland Fisheries and Wildlife,Rep,Richard G. Mason,Ranking Minority Party Member,R,Lisbon,Richard,Mason
110,Inland Fisheries and Wildlife,Rep,Stephen J. Wood,,R,Sabattus,Stephen,Wood
111,Inland Fisheries and Wildlife,Rep,Gary A. Drinkwater,,R,Milford,Gary,Drinkwater
112,Inland Fisheries and Wildlife,Rep,David Woodsome,,R,Waterboro,David,Woodsome
113,Inland Fisheries and Wildlife,Rep,James E. Thorne,,R,Carmel,James,Thorne
114,Inland Fisheries and Wildlife,Sen,David LaFountain,Chair,D,Kennebec,David,LaFountain
115,Inland Fisheries and Wildlife,Sen,Glenn “Chip” Curry,,D,Waldo,Glenn,Curry
116,Inland Fisheries and Wildlife,Sen,Russell Black,,R,Franklin,Russell,Black
117,"Innovation, Development, Economic Advancement and Business",Rep,Tiffany Roberts,Chair,D,South Berwick,Tiffany,Roberts
118,"Innovation, Development, Economic Advancement and Business",Rep,Raegan French LaRochelle,,D,Augusta,Raegan,LaRochelle
119,"Innovation, Development, Economic Advancement and Business",Rep,Bruce A. White,,D,Waterville,Bruce,White
120,"Innovation, Development, Economic Advancement and Business",Rep,W. Edward Crockett,,D,Portland,W.,Crockett
121,"Innovation, Development, Economic Advancement and Business",Rep,Daniel Sayre,,D,Kennebunk,Daniel,Sayre
122,"Innovation, Development, Economic Advancement and Business",Rep,Amanda N. Collamore,Ranking Minority Party Member,R,Pittsfield,Amanda,Collamore
123,"Innovation, Development, Economic Advancement and Business",Rep,Mark Walker,,R,Naples,Mark,Walker
124,"Innovation, Development, Economic Advancement and Business",Rep,Katrina J. Smith,,R,Palermo,Katrina,Smith
125,"Innovation, Development, Economic Advancement and Business",Rep,Caleb Joseph Ness,,R,Fryeburg,Caleb,Ness
126,"Innovation, Development, Economic Advancement and Business",Rep,Lucas John Lanigan,,R,Sanford,Lucas,Lanigan
127,"Innovation, Development, Economic Advancement and Business",Sen,Glenn “Chip” Curry,Chair,D,Waldo,Glenn,Curry
128,"Innovation, Development, Economic Advancement and Business",Sen,Joe Rafferty,,D,York,Joe,Rafferty
129,"Innovation, Development, Economic Advancement and Business",Sen,Stacey Guerin,,R,Penobscot,Stacey,Guerin
130,Judiciary,Rep,Matt Moonen,Chair,D,Portland,Matt,Moonen
131,Judiciary,Rep,Lois Galgay Reckitt,,D,South Portland,Lois,Reckitt
132,Judiciary,Rep,Stephen W. Moriarty,,D,Cumberland,Stephen,Moriarty
133,Judiciary,Rep,Erin R. Sheehan,,D,Biddeford,Erin,Sheehan
134,Judiciary,Rep,Adam R. Lee,,D,Auburn,Adam,Lee
135,Judiciary,Rep,Amy D. Kuhn,,D,Falmouth,Amy,Kuhn
136,Judiciary,Rep,Jennifer Poirier,Ranking Minority Party Member,R,Skowhegan,Jennifer,Poirier
137,Judiciary,Rep,John Andrews,,R,Paris,John,Andrews
138,Judiciary,Rep,David G. Haggan,,R,Hampden,David,Haggan
139,Judiciary,Rep,Rachel Ann Henderson,,R,Rumford,Rachel,Henderson
140,Judiciary,Rep,Aaron M. Dana,,Passamaquoddy Tribe,Passamaquoddy Tribe,Aaron,Dana
141,Judiciary,Sen,Anne M. Carney,Chair,D,Cumberland,Anne,Carney
142,Judiciary,Sen,"Donna Bailey,",,D,York,Donna,"Bailey,"
143,Judiciary,Sen,Peter Lyford,,R,Penobscot,Peter,Lyford
144,Labor and Housing,Rep,Amy J. Roeder,Chair,D,Bangor,Amy,Roeder
145,Labor and Housing,Rep,Daniel Sayre,,D,Kennebunk,Daniel,Sayre
146,Labor and Housing,Rep,Valli Geiger,,D,Rockland,Valli,Geiger
147,Labor and Housing,Rep,Ronald B. Russell,,D,Verona Island,Ronald,Russell
148,Labor and Housing,Rep,Marc G. Malon,,D,Biddeford,Marc,Malon
149,Labor and Housing,Rep,Charles A. Skold,,D,Portland,Charles,Skold
150,Labor and Housing,Rep,Richard T. Bradstreet,Ranking Minority Party Member,R,Vassalboro,Richard,Bradstreet
151,Labor and Housing,Rep,Gary A. Drinkwater,,R,Milford,Gary,Drinkwater
152,Labor and Housing,Rep,Joseph C. Galletta,,R,Durham,Joseph,Galletta
153,Labor and Housing,Rep,Michael Soboleski,,R,Phillips,Michael,Soboleski
154,Labor and Housing,Sen,Mike Tipping,Chair,D,Penobscot,Mike,Tipping
155,Labor and Housing,Sen,Mattie Daughtry,,D,Cumberland,Mattie,Daughtry
156,Labor and Housing,Sen,Matthew Pouliot,,R,Kennebec,Matthew,Pouliot
157,Marine Resources,Rep,Allison Hepler,Chair,D,Woolwich,Allison,Hepler
158,Marine Resources,Rep,H. Scott Landry,,D,Farmington,H.,Landry
159,Marine Resources,Rep,Morgan J. Rielly,,D,Westbrook,Morgan,Rielly
160,Marine Resources,Rep,Lydia V. Crafts,,D,Newcastle,Lydia,Crafts
161,Marine Resources,Rep,James F. Dill,,D,Old Town,James,Dill
162,Marine Resources,Rep,Vicki W. Doudera,,D,Camden,Vicki,Doudera
163,Marine Resources,Rep,James E. Thorne,Ranking Minority Party Member,R,Carmel,James,Thorne
164,Marine Resources,Rep,Tiffany Strout,,R,Harrington,Tiffany,Strout
165,Marine Resources,Rep,Irene A. Gifford,,R,Lincoln,Irene,Gifford
166,Marine Resources,Rep,Kenneth Ralph Davis,,R,East Machias,Kenneth,Davis
167,Marine Resources,Sen,Cameron Reny,Chair,D,Lincoln,Cameron,Reny
168,Marine Resources,Sen,Pinny Beebe-Center,,D,Knox,Pinny,Beebe-Center
169,Marine Resources,Sen,Marianne Moore,,R,Washington,Marianne,Moore
170,State and Local Government,Rep,Holly B. Stover,Chair,D,Boothbay,Holly,Stover
171,State and Local Government,Rep,Sean C. Paulhus,,D,Bath,Sean,Paulhus
172,State and Local Government,Rep,Lynn H. Copeland,,D,Saco,Lynn,Copeland
173,State and Local Government,Rep,Deqa Dhalac,,D,South Portland,Deqa,Dhalac
174,State and Local Government,Rep,Mana Abdi,,D,Lewiston,Mana,Abdi
175,State and Local Government,Rep,Randall Adam Greenwood,Ranking Minority Party Member,R,Wales,Randall,Greenwood
176,State and Local Government,Rep,Jeffrey Sean Adams,,R,Lebanon,Jeffrey,Adams
177,State and Local Government,Rep,Kimberly J. Pomerleau,,R,Standish,Kimberly,Pomerleau
178,State and Local Government,Rep,Joseph F. Underwood,,R,Presque Isle,Joseph,Underwood
179,State and Local Government,Rep,Walter N. Riseman,,I,Harrison,Walter,Riseman
180,State and Local Government,Sen,Tim Nangle,Chair,D,Cumberland,Tim,Nangle
181,State and Local Government,Sen,Joe Baldacci,,D,Penobscot,Joe,Baldacci
182,State and Local Government,Sen,Eric Brakey,,R,Androscoggin,Eric,Brakey
183,Taxation,Rep,Joseph C. Perry,Chair,D,Bangor,Joseph,Perry
184,Taxation,Rep,W. Edward Crockett,,D,Portland,W.,Crockett
185,Taxation,Rep,Ann Higgins Matlack,,D,St. George,Ann,Matlack
186,Taxation,Rep,Suzanne M. Salisbury,,D,Westbrook,Suzanne,Salisbury
187,Taxation,Rep,Ronald B. Russell,,D,Verona Island,Ronald,Russell
188,Taxation,Rep,Meldon H. Carmichael,Ranking Minority Party Member,R,Greenbush,Meldon,Carmichael
189,Taxation,Rep,Thomas A. Lavigne,,R,Berwick,Thomas,Lavigne
190,Taxation,Rep,Tracy S. Quint,,R,Hodgdon,Tracy,Quint
191,Taxation,Rep,Laurel D. Libby,,R,Auburn,Laurel,Libby
192,Taxation,Rep,Shelley Rudnicki,,R,Fairfield,Shelley,Rudnicki
193,Taxation,Sen,Nicole Grohoski,Chair,D,Hancock,Nicole,Grohoski
194,Taxation,Sen,Ben Chipman,,D,Cumberland,Ben,Chipman
195,Taxation,Sen,James Libby,,R,Cumberland,James,Libby
196,Transportation,Rep,Lynne A. Williams,Chair,D,Bar Harbor,Lynne,Williams
197,Transportation,Rep,Bruce A. White,,D,Waterville,Bruce,White
198,Transportation,Rep,Kevin J.M. O’Connell,,D,Brewer,Kevin,O’Connell
199,Transportation,Rep,Holly Rae Eaton,,D,Deer Isle,Holly,Eaton
200,Transportation,Rep,Lydia V. Crafts,,D,Newcastle,Lydia,Crafts
201,Transportation,Rep,Wayne R. Parry,Ranking Minority Party Member,R,Arundel,Wayne,Parry
202,Transportation,Rep,Roger Clarence Albert,,R,Madawaska,Roger,Albert
203,Transportation,Rep,James Lee White,,R,Guilford,James,White
204,Transportation,Rep,Austin L. Theriault,,R,Fort Kent,Austin,Theriault
205,Transportation,Rep,Richard G. Mason,,R,Lisbon,Richard,Mason
206,Transportation,Sen,Benjamin M. Chipman,Chair,D,Cumberland,Benjamin,Chipman
207,Transportation,Sen,Tim Nangle,,D,Cumberland,Tim,Nangle
208,Transportation,Sen,Bradlee Farrin,,R,Somerset,Bradlee,Farrin
209,Veterans and Legal Affairs,Rep,Laura D. Supica,Chair,D,Bangor,Laura,Supica
210,Veterans and Legal Affairs,Rep,Morgan J. Rielly,,D,Westbrook,Morgan,Rielly
211,Veterans and Legal Affairs,Rep,Benjamin T. Collings,,D,Portland,Benjamin,Collings
212,Veterans and Legal Affairs,Rep,Marc G. Malon,,D,Biddeford,Marc,Malon
213,Veterans and Legal Affairs,Rep,Karen L. Montell,,D,Gardiner,Karen,Montell
214,Veterans and Legal Affairs,Rep,John Andrews,Ranking Minority Party Member,R,Paris,John,Andrews
215,Veterans and Legal Affairs,Rep,David W. Boyer,,R,Poland,David,Boyer
216,Veterans and Legal Affairs,Rep,Benjamin C. Hymes,,R,Waldo,Benjamin,Hymes
217,Veterans and Legal Affairs,Rep,Shelley Rudnicki,,R,Fairfield,Shelley,Rudnicki
218,Veterans and Legal Affairs,Rep,Walter N. Riseman,,I,Harrison,Walter,Riseman
219,Veterans and Legal Affairs,Sen,Craig Hickman,Chair,D,Kennebec,Craig,Hickman
220,Veterans and Legal Affairs,Sen,Stacy Brenner,,D,Cumberland,Stacy,Brenner
221,Veterans and Legal Affairs,Sen,Jeff Timberlake,,R,Androscoggin,Jeff,Timberlake
222,Government Oversight Committee,Rep,Jessica L. Fay,Chair,D,Raymond,Jessica,Fay
223,Government Oversight Committee,Rep,Margaret M. O’Neil,,D,Saco,Margaret,O’Neil
224,Government Oversight Committee,Rep,Anne-Marie Mastraccio,,D,Sanford,Anne-Marie,Mastraccio
225,Government Oversight Committee,Rep,H. Sawin Millett,Ranking Minority Party Member,R,Waterford,H.,Millett
226,Government Oversight Committee,Rep,Richard T. Bradstreet,,R,Vassalboro,Richard,Bradstreet
227,Government Oversight Committee,Rep,Mark John Blier,,R,Buxton,Mark,Blier
228,Government Oversight Committee,Sen,Craig Hickman,Chair,D,Kennebec,Craig,Hickman
229,Government Oversight Committee,Sen,Jill Duson,,D,Cumberland,Jill,Duson
230,Government Oversight Committee,Sen,Mike Tipping,,D,Penobscot,Mike,Tipping
231,Government Oversight Committee,Sen,Lisa Keim,,R,Oxford,Lisa,Keim
232,Government Oversight Committee,Sen,Jeff Timberlake,,R,Androscoggin,Jeff,Timberlake
233,Government Oversight Committee,Sen,Richard Bennett,,R,Oxford,Richard,Bennett
234,Joint Select Committee on Housing,Rep,Traci Gere,Chair,D,Kennebunkport,Traci,Gere
235,Joint Select Committee on Housing,Rep,Holly B. Stover,,D,Boothbay,Holly,Stover
236,Joint Select Committee on Housing,Rep,Grayson B. Lookner,,D,Portland,Grayson,Lookner
237,Joint Select Committee on Housing,Rep,Drew Gattine,,D,Westbrook,Drew,Gattine
238,Joint Select Committee on Housing,Rep,Ambureen Rana,,D,Bangor,Ambureen,Rana
239,Joint Select Committee on Housing,Rep,Cheryl A. Golek,,D,Harpswell,Cheryl,Golek
240,Joint Select Committee on Housing,Rep,Amy Bradstreet Arata,Ranking Minority Party Member,R,New Gloucester,Amy,Arata
241,Joint Select Committee on Housing,Rep,Joshua Morris,,R,Turner,Joshua,Morris
242,Joint Select Committee on Housing,Rep,Richard H. Campbell,,R,Orrington,Richard,Campbell
243,Joint Select Committee on Housing,Rep,Mark John Blier,,R,Buxton,Mark,Blier
244,Joint Select Committee on Housing,Sen,Teresa Pierce,Chair,D,Cumberland,Teresa,Pierce
245,Joint Select Committee on Housing,Sen,Eloise Vitelli,,D,Sagadahoc,Eloise,Vitelli
246,Joint Select Committee on Housing,Sen,Matt Pouliot,,R,Kennebec,Matt,Pouliot
